ts_event,ofi_best,ofi_multi,ofi_integrated,ofi_cross_asset
2024-10-21 11:56:15+00:00,0.0,0.0,40.0,0.0
2024-10-21 11:56:16+00:00,0.0,0.0,-40.0,0.0
2024-10-21 11:56:17+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:18+00:00,0.0,-30.0,-6.0,0.0
2024-10-21 11:56:19+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:20+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:21+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:22+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:24+00:00,27.0,227.0,187.0,0.0
2024-10-21 11:56:25+00:00,0.0,0.0,0.0,27.0
2024-10-21 11:56:26+00:00,0.0,0.0,-40.0,0.0
2024-10-21 11:56:27+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:28+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:29+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:30+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:31+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:32+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:33+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:34+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:35+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:36+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:37+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:38+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:39+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:43+00:00,0.0,200.0,120.0,0.0
2024-10-21 11:56:44+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:45+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:46+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:47+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:48+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:49+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:50+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:51+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:52+00:00,0.0,175.0,195.0,0.0
2024-10-21 11:56:53+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:54+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:55+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:56+00:00,0.0,-200.0,-120.0,0.0
2024-10-21 11:56:57+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:58+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:56:59+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:00+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:05+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:06+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:07+00:00,1.0,453.0,191.59999999999997,0.0
2024-10-21 11:57:08+00:00,0.0,0.0,0.0,1.0
2024-10-21 11:57:09+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:10+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:11+00:00,0.0,0.0,0.0,0.0
2024-10-21 11:57:12+00:00,0.0,0.0,0.0,0.0
